timestamp,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
2007-01-01 00:00:00,2.580,0.136,241.970,10.600,0.000,0.000,0.0
2007-01-01 00:30:00,2.648,0.252,241.320,11.000,0.000,1.000,0.0
2007-01-01 01:00:00,2.466,0.000,241.090,10.200,0.000,0.000,0.0
2007-01-01 01:30:00,2.448,0.000,240.110,10.200,0.000,0.000,0.0
2007-01-01 02:00:00,2.504,0.088,239.260,10.400,0.000,0.000,0.0
2007-01-01 02:30:00,2.514,0.000,243.630,10.200,0.000,0.000,0.0
2007-01-01 03:00:00,2.648,0.254,241.630,11.000,0.000,2.000,0.0
2007-01-01 03:30:00,2.522,0.088,243.080,10.400,0.000,0.000,0.0
2007-01-01 04:00:00,2.400,0.000,241.960,9.800,0.000,0.000,0.0
2007-01-01 04:30:00,2.412,0.000,242.560,9.800,0.000,0.000,0.0
2007-01-01 05:00:00,2.436,0.000,243.850,10.000,0.000,0.000,0.0
2007-01-01 05:30:00,2.644,0.364,242.280,11.000,0.000,1.000,0.0
2007-01-01 06:00:00,2.460,0.064,241.130,10.200,0.000,0.000,0.0
2007-01-01 06:30:00,2.402,0.000,241.870,9.800,0.000,0.000,0.0
2007-01-01 07:00:00,2.396,0.000,242.030,9.800,0.000,0.000,0.0
2007-01-01 07:30:00,2.422,0.088,239.220,10.000,0.000,0.000,0.0
2007-01-01 08:00:00,2.532,0.244,240.440,10.400,0.000,1.000,0.0
2007-01-01 08:30:00,2.490,0.126,241.120,10.200,0.000,0.000,0.0
2007-01-01 09:00:00,2.384,0.000,240.980,9.800,0.000,0.000,0.0
2007-01-01 09:30:00,3.506,0.086,239.950,14.600,0.000,0.000,17.0
2007-01-01 10:00:00,3.480,0.048,239.620,14.400,0.000,0.000,18.0
2007-01-01 10:30:00,2.616,0.124,237.560,11.000,0.000,0.000,0.0
2007-01-01 11:00:00,2.510,0.000,236.920,10.600,0.000,0.000,0.0
2007-01-01 11:30:00,2.602,0.096,237.930,10.800,0.000,0.000,0.0
2007-01-01 12:00:00,2.478,0.000,235.300,10.400,0.000,0.000,0.0
2007-01-01 12:30:00,2.700,0.244,237.720,11.400,0.000,1.000,0.0
2007-01-01 13:00:00,2.662,0.134,239.500,11.000,0.000,0.000,0.0
2007-01-01 13:30:00,2.614,0.098,238.510,10.800,0.000,0.000,0.0
2007-01-01 14:00:00,1.164,0.138,238.960,7.200,0.000,0.000,0.0
2007-01-01 14:30:00,1.440,0.096,240.890,6.000,0.000,0.000,18.0
2007-01-01 15:00:00,2.686,0.140,239.880,11.200,0.000,1.000,18.0
2007-01-01 15:30:00,1.380,0.162,240.460,5.800,0.000,0.000,17.0
2007-01-01 16:00:00,1.338,0.124,238.610,5.600,0.000,0.000,18.0
2007-01-01 16:30:00,1.262,0.000,238.220,5.200,0.000,0.000,17.0
2007-01-01 17:00:00,1.710,0.158,240.390,7.000,0.000,0.000,18.0
2007-01-01 17:30:00,2.188,0.252,238.590,9.200,0.000,2.000,18.0
2007-01-01 18:00:00,1.416,0.000,239.130,5.800,0.000,0.000,17.0
2007-01-01 18:30:00,1.466,0.094,236.840,6.200,0.000,0.000,18.0
2007-01-01 19:00:00,1.504,0.130,238.500,6.200,0.000,0.000,17.0
2007-01-01 19:30:00,0.360,0.000,237.600,1.400,0.000,0.000,0.0
2007-01-01 20:00:00,0.440,0.126,237.910,1.800,0.000,1.000,0.0
2007-01-01 20:30:00,0.536,0.244,239.010,2.400,0.000,0.000,0.0
2007-01-01 21:00:00,0.470,0.142,238.810,2.000,0.000,0.000,0.0
2007-01-01 21:30:00,0.362,0.000,239.330,1.400,0.000,0.000,0.0
2007-01-01 22:00:00,0.362,0.000,239.110,1.400,0.000,0.000,0.0
2007-01-01 22:30:00,0.614,0.390,242.600,3.000,0.000,1.000,0.0
2007-01-01 23:00:00,0.372,0.000,242.780,1.600,0.000,0.000,0.0
2007-01-01 23:30:00,0.376,0.000,243.980,1.600,0.000,0.000,0.0
2007-01-02 00:00:00,0.442,0.122,241.060,1.800,0.000,0.000,0.0
2007-01-02 00:30:00,0.554,0.268,242.950,2.400,0.000,0.000,0.0
2007-01-02 01:00:00,0.378,0.000,243.750,1.600,0.000,0.000,0.0
2007-01-02 01:30:00,0.374,0.000,242.630,1.600,0.000,0.000,0.0
2007-01-02 02:00:00,0.470,0.160,242.180,2.000,0.000,0.000,0.0
2007-01-02 02:30:00,0.412,0.054,245.290,1.800,0.000,0.000,0.0
2007-01-02 03:00:00,0.470,0.168,246.160,2.000,0.000,1.000,0.0
2007-01-02 03:30:00,0.478,0.178,245.520,2.000,0.000,0.000,0.0
2007-01-02 04:00:00,0.562,0.286,245.540,2.600,0.000,0.000,0.0
2007-01-02 04:30:00,1.472,0.000,242.530,6.000,0.000,0.000,18.0
2007-01-02 05:00:00,1.448,0.000,241.600,6.000,0.000,0.000,18.0
2007-01-02 05:30:00,0.554,0.286,242.630,2.600,0.000,1.000,0.0
2007-01-02 06:00:00,0.424,0.062,246.080,1.800,0.000,0.000,0.0
2007-01-02 06:30:00,0.384,0.000,244.650,1.600,0.000,0.000,0.0
2007-01-02 07:00:00,0.470,0.158,242.740,2.000,0.000,0.000,0.0
2007-01-02 07:30:00,0.562,0.242,238.290,2.600,0.000,0.000,0.0
2007-01-02 08:00:00,0.450,0.136,240.800,2.000,0.000,1.000,0.0
2007-01-02 08:30:00,0.366,0.000,241.610,1.400,0.000,0.000,0.0
2007-01-02 09:00:00,0.464,0.148,240.420,2.000,0.000,0.000,0.0
2007-01-02 09:30:00,0.438,0.116,240.090,1.800,0.000,0.000,0.0
2007-01-02 10:00:00,0.358,0.000,238.270,1.400,0.000,0.000,0.0
2007-01-02 10:30:00,0.538,0.266,239.570,2.400,0.000,2.000,0.0
2007-01-02 11:00:00,0.462,0.120,241.090,2.000,0.000,0.000,0.0
2007-01-02 11:30:00,0.448,0.132,243.240,1.800,0.000,0.000,0.0
2007-01-02 12:00:00,0.374,0.000,243.420,1.600,0.000,0.000,0.0
2007-01-02 12:30:00,0.466,0.154,241.550,2.000,0.000,0.000,0.0
2007-01-02 13:00:00,0.450,0.140,241.350,2.000,0.000,2.000,0.0
2007-01-02 13:30:00,0.460,0.124,242.150,2.000,0.000,0.000,0.0
2007-01-02 14:00:00,0.466,0.160,242.600,2.000,0.000,0.000,0.0
2007-01-02 14:30:00,0.502,0.196,248.380,2.200,0.000,0.000,0.0
2007-01-02 15:00:00,0.370,0.000,242.730,1.600,0.000,0.000,0.0
2007-01-02 15:30:00,1.598,0.236,241.190,6.600,0.000,2.000,18.0
2007-01-02 16:00:00,0.392,0.172,244.600,1.800,0.000,0.000,0.0
2007-01-02 16:30:00,1.390,0.000,243.550,5.600,0.000,0.000,18.0
2007-01-02 17:00:00,2.678,0.072,241.360,11.000,0.000,0.000,18.0
2007-01-02 17:30:00,2.496,0.774,238.600,11.000,0.000,0.000,0.0
2007-01-02 18:00:00,2.204,0.298,236.350,9.400,0.000,1.000,17.0
2007-01-02 18:30:00,1.996,0.000,240.320,8.200,0.000,0.000,18.0
2007-01-02 19:00:00,1.236,0.000,237.480,5.200,0.000,0.000,17.0
2007-01-02 19:30:00,1.430,0.236,239.810,6.000,0.000,0.000,18.0
2007-01-02 20:00:00,2.682,0.488,238.860,11.400,0.000,0.000,17.0
2007-01-02 20:30:00,2.458,0.290,237.400,10.400,0.000,2.000,17.0
2007-01-02 21:00:00,2.634,0.168,238.470,11.000,0.000,0.000,18.0
2007-01-02 21:30:00,1.320,0.334,239.500,5.600,0.000,0.000,0.0
2007-01-02 22:00:00,0.498,0.000,240.430,2.200,0.000,0.000,0.0
2007-01-02 22:30:00,0.426,0.054,242.260,1.800,0.000,0.000,0.0
2007-01-02 23:00:00,0.504,0.078,244.390,2.200,0.000,2.000,0.0
2007-01-02 23:30:00,0.532,0.092,244.100,2.200,0.000,0.000,0.0
2007-01-03 00:00:00,1.372,0.058,244.950,5.600,0.000,0.000,0.0
2007-01-03 00:30:00,1.230,0.052,243.950,5.200,0.000,0.000,0.0
2007-01-03 01:00:00,1.494,0.082,242.920,6.200,0.000,0.000,0.0
2007-01-03 01:30:00,0.932,0.310,243.830,4.000,0.000,2.000,0.0
2007-01-03 02:00:00,0.322,0.158,244.950,1.400,0.000,0.000,0.0
2007-01-03 02:30:00,0.252,0.054,246.140,1.000,0.000,0.000,0.0
2007-01-03 03:00:00,0.350,0.198,246.250,1.600,0.000,0.000,0.0
2007-01-03 03:30:00,0.252,0.062,247.390,1.200,0.000,0.000,0.0
2007-01-03 04:00:00,0.338,0.192,246.860,1.600,0.000,1.000,0.0
2007-01-03 04:30:00,0.250,0.058,246.400,1.000,0.000,0.000,0.0
2007-01-03 05:00:00,0.350,0.188,244.790,1.600,0.000,0.000,0.0
2007-01-03 05:30:00,1.396,0.134,242.270,5.800,0.000,0.000,18.0
2007-01-03 06:00:00,0.258,0.062,247.220,1.200,0.000,0.000,0.0
2007-01-03 06:30:00,0.346,0.194,245.930,1.600,0.000,0.000,0.0
2007-01-03 07:00:00,0.316,0.118,245.360,1.600,0.000,0.000,0.0
2007-01-03 07:30:00,0.244,0.000,242.790,1.000,0.000,0.000,0.0
2007-01-03 08:00:00,0.240,0.000,241.520,1.000,0.000,0.000,0.0
2007-01-03 08:30:00,0.334,0.164,240.820,1.600,0.000,0.000,0.0
2007-01-03 09:00:00,0.324,0.162,242.480,1.400,0.000,0.000,0.0
2007-01-03 09:30:00,0.764,0.000,239.470,3.400,0.000,0.000,0.0
2007-01-03 10:00:00,0.892,0.200,240.480,4.000,0.000,0.000,0.0
2007-01-03 10:30:00,0.882,0.204,241.300,3.800,0.000,0.000,0.0
2007-01-03 11:00:00,1.626,0.224,240.340,7.000,0.000,0.000,0.0
2007-01-03 11:30:00,0.292,0.070,244.630,1.200,0.000,0.000,0.0
2007-01-03 12:00:00,1.424,0.182,241.870,5.800,0.000,0.000,18.0
2007-01-03 12:30:00,1.324,0.000,241.180,5.400,0.000,0.000,18.0
2007-01-03 13:00:00,1.346,0.052,243.060,5.400,0.000,0.000,18.0
2007-01-03 13:30:00,1.446,0.184,242.450,6.000,0.000,2.000,18.0
2007-01-03 14:00:00,1.428,0.178,241.450,5.800,0.000,0.000,18.0
2007-01-03 14:30:00,1.372,0.062,245.350,5.600,0.000,0.000,18.0
2007-01-03 15:00:00,0.264,0.078,246.060,1.200,0.000,0.000,0.0
2007-01-03 15:30:00,0.354,0.222,246.540,1.800,0.000,0.000,0.0
2007-01-03 16:00:00,0.460,0.346,245.680,2.400,0.000,1.000,0.0
2007-01-03 16:30:00,0.266,0.078,246.120,1.200,0.000,0.000,0.0
